datetime,Deleveraged_Cian_Assets,Net_Vault_Deposits
2025-02-06,43740484.42945637,43755417.89040171
2025-02-07,42241202.43341121,42126441.51496831
2025-02-08,41247354.18938757,41135293.35831687
2025-02-09,41438390.179778285,41325810.34203992
2025-02-10,41241752.15271757,41270959.88107956
2025-02-11,41675374.58290055,41707478.63162377
2025-02-12,40778303.666320994,40809716.66886401
2025-02-13,42814605.511599295,42926764.77529257
2025-02-14,39997457.01350374,41976675.44369604
2025-02-15,40729341.08912383,42826788.345024645
2025-02-16,40253259.08710769,42326189.45022285
2025-02-17,39600047.054654054,41808753.394856915
2025-02-18,40656487.11409603,43064781.78187383
2025-02-19,39401179.57235344,41927490.11431912
2025-02-20,40069906.3566371,42639094.08002646
2025-02-21,40264667.99119065,43060160.05839998
2025-02-22,39042063.86592732,41752673.074192956
2025-02-23,40598962.3410811,43417663.76899932
2025-02-24,41438952.43069717,44404474.71344796
2025-02-25,36688793.006627984,39314376.58937774
2025-02-26,36574642.24542515,39192056.78416961
2025-02-27,34091177.50008848,36530451.257605284
2025-02-28,33790244.6474246,36207986.2179034
2025-03-01,32762480.174612552,35106683.68946297
2025-03-02,32434447.674442165,34956546.99871
2025-03-03,36897856.50711318,39767030.04438453
2025-03-04,31487210.14185557,33827043.09213321
2025-03-05,31856836.539266463,34194986.053781815
2025-03-06,32882112.76707375,35300795.26633546
2025-03-07,32309035.43926309,34685564.56129755
2025-03-08,31405762.249860566,33716920.424408324
2025-03-09,32274981.85949187,34651206.12989312
2025-03-10,29594191.330881767,31719988.37976356
2025-03-11,27567580.87422948,29547803.324372742
2025-03-12,28186480.452030953,30211159.426812265
2025-03-13,28030169.970388085,30043620.91880198
2025-03-14,27328039.295508567,29290122.825669993
2025-03-15,28030333.285387438,30042954.03848419
2025-03-16,28457528.237967674,30500822.241304707
2025-03-17,27694351.713306163,29682848.47623326
2025-03-18,28301987.283686984,30334113.208879724
2025-03-19,28354992.324494842,30390924.092595782
2025-03-20,30231815.15013013,32528671.343564004
2025-03-21,29059692.868474077,31267814.23582078
2025-03-22,28820529.37133274,31010575.957239766
2025-03-23,29040814.130560603,31247599.960867293
2025-03-24,29356259.566432703,31587285.958303276
2025-03-25,30481370.131004132,32793003.093977906
2025-03-26,30347269.153170016,32648732.22419352
2025-03-27,29485895.290888984,31722033.863540694
2025-03-28,29389361.98415507,31618179.705647144
2025-03-29,27828630.589324057,29939086.2384049
2025-03-30,26836279.72868364,28873681.340193413
2025-03-31,26485118.409685597,28332915.863194972
2025-04-01,26761938.920786195,28629049.41747622
2025-04-02,27978999.65033099,30109610.973707397
2025-04-03,18854981.351390377,28243194.709023025
2025-04-04,26665810.24335946,28597422.81133836
2025-04-05,27190016.87771034,28537600.248970658
2025-04-06,27121910.773085438,28466118.690241165
2025-04-07,23595882.425149314,24765334.39457459
2025-04-08,23315327.800017357,24464428.38673059
2025-04-09,21166813.54136767,23135018.959307063
2025-04-10,25095205.205936655,26140926.110322073
2025-04-11,,23961570.518453114
2025-04-12,,24656599.71040338
2025-04-13,,25878805.27133492
2025-04-14,,25085712.03853296
2025-04-15,,25498107.289135236
2025-04-16,,24967858.731004067
2025-04-17,,24808806.470979713
2025-04-18,,24899523.191189587
2025-04-19,,24988762.94913705
2025-04-20,,25396008.437527988
2025-04-21,,24935636.964876156
2025-04-22,,24809603.59309078
2025-04-23,,27676132.320056073
2025-04-24,,28215016.57412593
2025-04-25,,27821115.006154217
2025-04-26,,28126330.281713087
2025-04-27,,28637078.62114248
2025-04-28,,28203455.614577852
2025-04-29,,28227378.960196648
