datetime,Compound,Aave,Morpho,Sky
2024-08-26,-1188763.411287,2203253.8924879995,13660.189131000001,-7341.915786999976
2024-08-27,-1188763.411287,2203253.8924879995,13660.189131000001,-7341.915786999976
2024-08-28,-1188763.411287,2201924.8664369993,13660.189131000001,-7341.915786999976
2024-08-29,-1120406.017914,2201924.8664369993,13660.189131000001,-7341.915786999976
2024-08-30,-1194523.7129829999,2145110.5120359994,13660.189131000001,-7341.915786999976
2024-08-31,-1194523.7129829999,2134877.0014269995,13660.189131000001,-7341.915786999976
2024-09-01,-1340256.446084,2134877.0014269995,13660.189131000001,149403.37993700002
2024-09-02,-1411951.2036,1529886.6768129994,13660.189131000001,826149.878017
2024-09-03,-1411951.2036,1488870.5109979995,13660.189131000001,826149.878017
2024-09-04,-1411951.2036,1439999.9737979996,13660.189131000001,826149.878017
2024-09-05,-1411951.2036,1439999.9737979996,13660.189131000001,826149.878017
2024-09-06,-1411951.2036,1378334.9508589995,13660.189131000001,826149.878017
2024-09-07,-1411951.2036,1369092.1290139996,13660.189131000001,826149.878017
2024-09-08,-1411951.2036,1360949.4244779996,13660.189131000001,826149.878017
2024-09-09,-1411951.2036,1360949.4244779996,13660.189131000001,826149.878017
2024-09-10,-1411951.2036,1360829.0516499996,13660.189131000001,826149.878017
2024-09-11,-1411951.2036,1358593.5367809995,13660.189131000001,826149.878017
2024-09-12,-1411951.2036,1353684.2545859995,13660.189131000001,826149.878017
2024-09-13,-1411951.2036,1584287.0155389996,13660.189131000001,1328161.29031
2024-09-14,-1411951.2036,1646688.2026439996,13660.189131000001,1328161.29031
2024-09-15,-1411951.2036,1646688.2026439996,13660.189131000001,1328161.29031
2024-09-16,-1411951.2036,1646688.2026439996,13660.189131000001,1328161.29031
2024-09-17,-1411951.2036,1867235.6149949995,13660.189131000001,1105706.5577850002
2024-09-18,-1411951.2036,1859344.2622159994,13660.189131000001,1105706.5577850002
2024-09-19,-1411951.2036,1859344.2622159994,13660.189131000001,1105706.5577850002
2024-09-20,-1411951.2036,1859344.2622159994,13660.189131000001,1105706.5577850002
2024-09-21,-1411951.2036,1854768.2466619995,13660.189131000001,1105706.5577850002
2024-09-22,-1411951.2036,1854768.2466619995,13660.189131000001,1105706.5577850002
2024-09-23,-1411951.2036,1854768.2466619995,13660.189131000001,1105706.5577850002
2024-09-24,-1411951.2036,1852306.0387759996,13660.189131000001,1105706.5577850002
2024-09-25,-1411951.2036,1852306.0387759996,13660.189131000001,1105706.5577850002
2024-09-26,-1411951.2036,1852306.0387759996,13660.189131000001,1105706.5577850002
2024-09-27,-1255521.9853039999,750688.2235349996,13660.189131000001,547830.2875790002
2024-09-28,403459.45270000026,386014.6532569997,13660.189131000001,981332.3915700002
2024-09-29,-33157.443967999774,683548.2387569996,13660.189131000001,1120415.702738
2024-09-30,-461054.12519899977,1189637.9865779995,13660.189131000001,1120415.702738
2024-10-01,-979189.6785149998,2224971.3128839997,13660.189131000001,554551.4876770001
2024-10-02,-1133793.9515709998,413219.1006789997,13660.189131000001,1327424.7202520003
2024-10-03,-1133793.9515709998,1552843.8405569997,13660.189131000001,1285994.6235290002
2024-10-04,-123820.2254499998,601588.5661989998,13660.189131000001,1289542.8388340003
2024-10-05,-803811.5904579998,1281579.9312069998,13660.189131000001,1289542.8388340003
2024-10-06,-1143948.8308509998,1542670.4892699998,13660.189131000001,1289542.8388340003
2024-10-07,12924.953220000258,421021.8751359999,13660.189131000001,758092.2694700003
2024-10-08,603436.5175010003,421021.8751359999,13660.189131000001,758092.2694700003
2024-10-09,1185405.1342160003,-41217.53966700006,13660.189131000001,429825.79689100024
2024-10-10,1185405.1342160003,-196936.32043800005,13660.189131000001,896718.4726650002
2024-10-11,371402.9522170003,414455.60659700003,13660.189131000001,1131241.2761880003
2024-10-12,-729711.2125929997,228173.52673600003,13660.189131000001,2467073.104238
2024-10-13,-1296359.6451079997,-207063.4636699999,13660.189131000001,3469004.8474310003
2024-10-14,-166860.12484599976,837692.3752350002,13660.189131000001,1337525.0400880002
2024-10-15,-825931.7092289998,1415502.2209120002,13660.189131000001,1418786.7787940002
2024-10-16,494592.2042700002,89952.28683000011,13660.189131000001,1422497.7508470002
2024-10-17,-495392.5556419998,1008601.4853040001,13660.189131000001,1493841.199004
2024-10-18,-495392.5556419998,1008601.4853040001,13660.189131000001,1493841.199004
2024-10-19,-495392.5556419998,1008601.4853040001,13660.189131000001,1493841.199004
2024-10-20,-495392.5556419998,1008601.4853040001,13660.189131000001,1493841.199004
2024-10-21,-495392.5556419998,1008601.4853040001,13660.189131000001,1493841.199004
2024-10-22,-1215158.3879109998,1699691.8641980002,13660.189131000001,1010549.2822930003
2024-10-23,-1351512.6936219998,1699691.8641980002,13660.189131000001,1620419.5700310003
2024-10-24,-1487824.065788,1715146.126681,13660.189131000001,1763678.6698440004
2024-10-25,-589051.4890499999,680478.281422,13660.189131000001,1041044.8876960003
2024-10-26,759054.3629190001,-115672.61905500002,13660.189131000001,1362653.5570410003
2024-10-27,-89283.33928999992,287045.10007899994,13660.189131000001,1808281.7010240003
2024-10-28,-1122481.4938829998,988592.835093,13660.189131000001,2111253.4862110005
2024-10-29,-832715.0086529998,2033744.822501,13660.189131000001,432414.74539200054
2024-10-30,877474.8849500003,-57596.36320200004,13660.189131000001,1241563.8079470005
2024-10-31,431548.5949130003,-266416.9477840001,13660.189131000001,2019606.3592490004
2024-11-01,34629.791411000246,207091.4574999999,13660.189131000001,2019606.3592490004
2024-11-02,34629.791411000246,207084.1142779999,13660.189131000001,2019606.3592490004
2024-11-03,-1008082.1222139997,1250121.651421,13660.189131000001,2019606.3592490004
2024-11-04,-1429422.3823289997,1798836.293306,13660.189131000001,1819470.0864500003
2024-11-05,-1429422.3823289997,1792024.3374130002,13660.189131000001,1819470.0864500003
2024-11-06,-1429422.3823289997,1792024.3374130002,13660.189131000001,1819470.0864500003
2024-11-07,-356019.7150729997,718628.7919310001,13660.189131000001,1819470.0864500003
2024-11-08,-650524.5789759997,1022638.828759,13660.189131000001,1799628.7313990004
2024-11-09,-1011513.0070919998,2389751.305505,13660.189131000001,1799628.7313990004
2024-11-10,-1011513.0070919998,2309359.9539530003,13660.189131000001,1799628.7313990004
2024-11-11,-1011513.0070919998,2097156.4889450003,13660.189131000001,1799628.7313990004
2024-11-12,-1011513.0070919998,2097156.4889450003,13660.189131000001,1799628.7313990004
2024-11-13,-1011513.0070919998,2097156.4889450003,13660.189131000001,1799628.7313990004
2024-11-14,-1011513.0070919998,2081786.8552890003,13660.189131000001,1799628.7313990004
2024-11-15,141145.51972300024,491021.03514200007,13660.189131000001,2165608.6338370005
2024-11-16,490084.41292600025,200987.56064600003,13660.189131000001,2165608.6338370005
2024-11-17,490084.41292600025,252871.20946200003,13660.189131000001,2165608.6338370005
2024-11-18,490084.41292600025,252871.20946200003,13660.189131000001,2165608.6338370005
2024-11-19,490084.41292600025,252871.20946200003,13660.189131000001,2165608.6338370005
2024-11-20,490084.41292600025,239923.41424500002,13660.189131000001,2165608.6338370005
2024-11-21,490084.41292600025,239923.41424500002,13660.189131000001,2165608.6338370005
2024-11-22,489138.61482500023,238829.78789000004,13660.189131000001,2165218.6466160007
2024-11-23,489138.61482500023,208884.67716400005,13660.189131000001,2165218.6466160007
2024-11-24,489138.61482500023,208884.67716400005,13660.189131000001,2165218.6466160007
2024-11-25,489138.61482500023,207115.07046600006,13660.189131000001,2165218.6466160007
2024-11-26,489138.61482500023,207115.07046600006,13660.189131000001,2165218.6466160007
2024-11-27,671988.1575560002,54890.68523100007,13660.189131000001,2165218.6466160007
2024-11-28,809547.2164110001,-153750.18906499993,13660.189131000001,2236300.4620570005
2024-11-29,809547.2164110001,-153750.18906499993,13660.189131000001,2367945.8100370006
2024-11-30,2028349.636191,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-01,2024140.894194,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-02,2141087.175256,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-03,2120983.9887759998,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-04,2119374.9023339995,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-05,2119374.9023339995,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-06,2119374.9023339995,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-07,2119374.9023339995,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-08,2202173.4437979995,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-09,2202173.4437979995,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-10,2259238.4666589997,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-11,2259238.4666589997,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-12,2255964.6430309997,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-13,2232117.4709989997,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-14,2232117.4709989997,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-15,2226308.929896,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-16,2226308.929896,-292528.3321779999,13660.189131000001,1244738.2170120005
2024-12-17,204538.19333399972,-128360.97216699991,290768.755567,2830042.8816370005
2024-12-18,203481.0077049997,-128360.97216699991,381675.04686600005,2819960.2925280007
2024-12-19,-892419.8121120003,824313.197142,546766.2721000001,2819960.2925280007
2024-12-20,-1292270.9458060004,1111595.155849,907238.103584,2259219.3940010006
2024-12-21,-1426506.0245380003,1212131.1321470002,1023596.2894850001,2450669.5909420005
2024-12-22,-1426506.0245380003,1206983.6043220002,1023596.2894850001,2450669.5909420005
2024-12-23,-1426506.0245380003,2473949.515676,1023596.2894850001,1173594.8105250006
2024-12-24,-1426506.0245380003,1202472.2002800002,1023596.2894850001,2445072.1259220005
2024-12-25,-1426506.0245380003,1175469.5644030003,1023596.2894850001,2445072.1259220005
2024-12-26,-1426506.0245380003,1175469.5644030003,1144434.82323,2445072.1259220005
2024-12-27,-1426506.0245380003,1175469.5644030003,1144434.82323,2445072.1259220005
2024-12-28,-1426506.0245380003,1175469.5644030003,1144434.82323,2445072.1259220005
2024-12-29,-1426506.0245380003,1175469.5644030003,1098285.737014,2555137.1259770007
2024-12-30,-1426506.0245380003,1029405.6085030003,1244003.3103820002,2555137.1259770007
2024-12-31,-1426506.0245380003,1139156.7440350004,1244003.3103820002,2555137.1259770007
2025-01-01,-1426506.0245380003,1105450.9323590004,1244003.3103820002,2555137.1259770007
2025-01-02,-1426506.0245380003,1105450.9323590004,1244003.3103820002,2555137.1259770007
2025-01-03,-1426506.0245380003,1100239.8647010005,1244003.3103820002,2555137.1259770007
2025-01-04,-1426506.0245380003,1162880.4855970005,1244003.3103820002,2555137.1259770007
2025-01-05,-756358.8993480003,516185.5084450004,1087375.0830300003,2555137.1259770007
