datetime,USD,ETH
2024-11-11,63590581.26510373,19922.45762698126
2024-11-12,67200366.4959872,19924.25762698126
2024-11-13,64971696.813959114,19924.25762698126
2024-11-14,63596221.66931295,19924.25762698126
2024-11-15,60952539.1267394,19920.352365354294
2024-11-16,61631838.0121021,19920.352365354294
2024-11-17,62432307.406631745,19921.727365354294
2024-11-18,61269960.4612219,19921.727365354294
2024-11-19,63937268.0817318,19921.727365354294
2024-11-20,62014540.36876056,19921.727365354294
2024-11-21,61171452.563516945,19891.90126380134
2024-11-22,66965251.01507518,19894.980678828757
2024-11-23,66205665.101779565,19894.980678828757
2024-11-24,67524299.77789444,19894.980678828757
2024-11-25,67020276.36157294,19894.980678828757
2024-11-26,67986942.86928217,19894.980678828757
2024-11-27,66163474.56063826,19894.980678828757
2024-11-28,72938932.49162805,19895.030678828756
2024-11-29,71209105.24930917,19895.030678828756
2024-11-30,71586166.5141353,19895.030678828756
2024-12-01,73808762.10671677,19895.030678828756
2024-12-02,73791234.5376761,19896.217243897292
2024-12-03,72498938.16035445,19896.217243897292
2024-12-04,72138648.07692955,19896.417243897293
2024-12-05,76391629.81197123,19896.53724389729
2024-12-06,75699136.1384409,19937.253243897292
2024-12-07,80070320.28740452,19949.123927997847
2024-12-08,79818287.26511785,19949.623927997847
2024-12-09,80154665.13568796,19959.91433595785
2024-12-10,74118343.4182171,19960.161045957848
2024-12-11,72425372.51805907,19970.661045957848
2024-12-12,67850811.10699391,17724.374130354343
2024-12-13,68750188.80951227,17724.374130354343
2024-12-14,69256745.17311566,17724.374130354343
2024-12-15,68540080.35577455,17724.374130354343
2024-12-16,70268840.70049576,17738.764130354342
2024-12-17,70828352.00330135,17738.764130354342
2024-12-18,68815871.97354357,17738.764130354342
2024-12-19,64360892.30104625,17738.764130354342
2024-12-20,60215735.00133786,17531.710211164755
2024-12-21,60812190.72464356,17531.902711164756
2024-12-22,58514429.804735295,17531.902711164756
2024-12-23,57432574.73373657,17531.902711164756
2024-12-24,59871990.83720267,17533.902711164756
2024-12-25,61413233.02764011,17558.902711164756
2024-12-26,61361175.20104183,17559.302711164757
2024-12-27,58433668.03885926,17559.302711164757
2024-12-28,58464733.93961022,17564.302711164757
2024-12-29,59680587.054935835,17564.302711164757
2024-12-30,58069845.5026636,17296.432776017737
2024-12-31,58107607.053701095,17296.432776017737
2025-01-01,57711580.52613618,17296.432776017737
2025-01-02,57925186.85895828,17296.432776017737
2025-01-03,59640529.270163305,17296.432776017737
2025-01-04,62341383.552313596,17296.432776017737
2025-01-05,63311482.73368641,17296.432776017737
2025-01-06,62903682.872270666,17300.932776017737
2025-01-07,63744422.4119844,17288.28873163868
2025-01-08,58434990.02921439,17288.35052963868
2025-01-09,57486013.50409513,17288.35052963868
2025-01-10,55652805.48763013,17288.35052963868
2025-01-11,56518824.010460295,17288.40052963868
2025-01-12,56777892.73867375,17291.40052963868
2025-01-13,56182734.71621675,17212.47339835127
2025-01-14,53953393.59494692,17212.47339835127
2025-01-15,55507117.85462734,17212.57339835127
2025-01-16,59332326.55221829,17212.57339835127
2025-01-17,56964092.751228295,17212.57339835127
2025-01-18,59853010.983955696,17212.57339835127
2025-01-19,56958119.19011164,17212.57339835127
2025-01-20,55220285.73534621,17212.57339835127
2025-01-21,56165829.63927204,17212.57339835127
2025-01-22,57249510.37786676,17212.57339835127
2025-01-23,55722581.86288522,17212.673398351268
2025-01-24,57348863.90816627,17208.543692400937
2025-01-25,56992115.15008186,17208.543692400937
2025-01-26,57135058.053660445,17208.67369240094
2025-01-27,55623196.29539006,17208.67369240094
2025-01-28,54612321.51957614,17208.67369240094
