tx_hash,block_number,timestamp,event_type,sender,owner,assets,shares,vault_address,log_index,datetime
0x58f802cad27312c2875e24bd7afc97dbceb81183c8bd977041e256ef6d2ffba0,19955481,1716743759,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,5000.0,4957.046172,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,255,2024-05-26 17:15:59
0xd0db9519451a942498f00a7015dc064dc88123f6834f757760c4f69835c1a411,19956091,1716751115,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,50000.0,49569.877096,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,353,2024-05-26 19:18:35
0xc3fbac321d20a7e727841d90e2965aba441649cc065ab3b269e9084145b2befd,19909662,1716190271,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,800.0,793.877342,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,115,2024-05-20 07:31:11
0x11d0d90de0291f93ae3c85bcc6761d14bba36550a2b7a8acfa3880adc4a073c4,19930810,1716445907,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,528.0,523.725597,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,208,2024-05-23 06:31:47
0x4304e727ea583c8c2e65e504485768d8997d2bb04ea13e85d7bcc16201db6a86,19932000,1716460271,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,500.0743,496.013971,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,524,2024-05-23 10:31:11
0x403cc6c3c660cfaf3880d7088de6d009ed2dfc1c284a19c8423cc65ae490da9c,19938741,1716541607,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,70000.0,69422.054676,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,161,2024-05-24 09:06:47
0x75c06a022e4e1cf323aafcb462ddcfff34ed2bd1d88a9628b9792f6e5e13470b,19920800,1716324899,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,100000.413527,99211.083378,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,277,2024-05-21 20:54:59
0xa56b7eb4fad9c96c0a45bceef599ba7fc986391309565d2477159d61978b59fc,19923670,1716359675,deposit,0x87588d3fbcdff1bf84555f0a22056d94534a74a6,0x87588d3fbcdff1bf84555f0a22056d94534a74a6,115.829287,114.908282,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,34,2024-05-22 06:34:35
0xe70c0549bae10738bb0bca59e16f8783f7b489536e2144817dea81cbbe167249,19921423,1716332399,deposit,0xa7016c3c05741400afe1cc111e3d4bb2838fef72,0xa7016c3c05741400afe1cc111e3d4bb2838fef72,5000.0,4960.470855,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,315,2024-05-21 22:59:59
0xb30b532a41c4d1a0afd37e2d6645ab83f84cff66ea5fc6b43f6d8937d55e0673,19913973,1716242447,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,200.0,198.450455,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,612,2024-05-20 22:00:47
0x9abad8aadf1a48c71a62c0f347fa11e843d92e25e13523eb81503c5da19bf227,19914978,1716254627,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,49996.0,49607.546526,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,325,2024-05-21 01:23:47
0xaa3d46b27dcc15943fa56540940245747dac148f38bb18fe07d722c9db2652ed,19910398,1716199175,deposit,0xc0a893145ad461af44241a7db5bb99b8998e7d2c,0xc0a893145ad461af44241a7db5bb99b8998e7d2c,33185.430441,32930.909386,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,394,2024-05-20 09:59:35
0xac21fbd809b68ba56ccc62334d9b870737b2a441b20899483467a69b90b30aaf,19910516,1716200615,deposit,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0xaac22da0baaf48ce621c0c8add5983c2078381bb,0.01,0.009923,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,167,2024-05-20 10:23:35
0x12e1b47ff50ce1a9a4eafcba8cb1bad582e6ae3862a06001fa75bf4f419b7ce1,20040849,1717774151,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,20000.0,19791.543584,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,288,2024-06-07 15:29:11
0x0e2711e077ed325bf7c6f5071811284408de10884628945d4f8bf05351826dcd,20098643,1718471999,deposit,0x24493370087a890270c040cbf98421f1ee57d29e,0x24493370087a890270c040cbf98421f1ee57d29e,30000.0,29632.575655,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,538,2024-06-15 17:19:59
0x08a10ee20f131e164c3bd73144d94f4bd41de35e13aa4dc3c93bac445dcaab4f,20090081,1718368535,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0.001,0.000988,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,117,2024-06-14 12:35:35
0x06832c37f8ed9c97e47d5cfeccf2e8aec1be44ab4fed654d2636972a4b440a95,20092340,1718395739,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,102613.037856,101375.482393,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,110,2024-06-14 20:08:59
0xe6a6afb145bffa0c662e62ed50f143d9a5c8a9c74b9fa5d4653102d6549ed80d,20096391,1718444831,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,11.116745,10.981332,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,212,2024-06-15 09:47:11
0xb129aa4337e873402ac659db49a7af284ca8c298b0d5d69021b128fd53729bd7,20042685,1717796315,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,3692.0,3653.298895,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,497,2024-06-07 21:38:35
0xaf13d38b01c1ef944fb91215e8e24af29d6790bf442d53b83d0ed3c407009d8e,20072867,1718160539,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,105806.119298,104594.189118,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,285,2024-06-12 02:48:59
0xf5eea3b29742427c2e337245e5a9030c3edd49ac38acbd2956786297aaf91231,20070352,1718130191,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,1000.0,988.625103,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,388,2024-06-11 18:23:11
0x8cf17fce43b098bacc3de5e5a94a0713a52a90ffadbc43f4dd0f0dee975b7050,20075667,1718194319,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,11899.034634,11761.736628,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,232,2024-06-12 12:11:59
0x7af4a01bc6d8c2056aea6ddb4eefb4a11e8f7f02874613f31d0c0ff25f705dc6,20071677,1718146187,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,15000.0,14828.747198,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,541,2024-06-11 22:49:47
0x612d45e45d73739d6181efc9db61826356493b5122601413cc7ddc6d2e9ae8ae,20071890,1718148743,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,1000.0,988.576483,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,521,2024-06-11 23:32:23
0x0a822ebab863e0e464cb38ef3178accd179d713030a8eb3f252311d68647defc,20083599,1718290139,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,59574.282658,58871.980896,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,471,2024-06-13 14:48:59
0x8fe9a0159c12e11805ee1bcfe04a57cbea0fb675c2e0fba1a131fcec8529db89,20094012,1718415923,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,200.0,197.578,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,171,2024-06-15 01:45:23
0xa712c244140f901b08302a28e982616d7d26681e56e3a8b4a5f2f28e0ba2e9c8,20078779,1718231867,deposit,0x95f84e4469c70580ad1f76115550aa3306fc4c6e,0x95f84e4469c70580ad1f76115550aa3306fc4c6e,3010.729463,2975.699277,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,258,2024-06-12 22:37:47
0x1b97bb18e2e63ae7f295b3687473139fd9b3e51a5fc45333b2f890da36269033,20039789,1717761323,deposit,0x4444aaaacdba5580282365e25b16309bd770ce4a,0x4444aaaacdba5580282365e25b16309bd770ce4a,184153.797945,182240.527517,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,210,2024-06-07 11:55:23
0x704f8c44e5ee86a812e63b40daf4bf910d5db88424a47ab064d68bf19ddf7fe0,20087570,1718338223,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,10000.0,9880.873325,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,184,2024-06-14 04:10:23
0x3fbe03f1ec60afd1c9d3a948086ef05b6d197f314d3a18583977d6c51c594107,20085178,1718309267,deposit,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,0x1104215963474a0fa0ac09f4e212ef7282f2a0bc,1000.0,988.161989,0xbe53a109b494e5c9f97b9cd39fe969be68bf6204,124,2024-06-13 20:07:47
